Wilayah,Cluster,Jarak ke Medoid
Kabupaten Bangkalan,Cluster 1,146.28186763915738
Kabupaten Banyuwangi,Cluster 1,218.44354854286692
Kabupaten Blitar,Cluster 3,0.0
Kabupaten Bojonegoro,Cluster 2,121.6414320862756
Kabupaten Bondowoso,Cluster 3,165.7602913848787
Kabupaten Gresik,Cluster 3,136.05958584384985
Kabupaten Jember,Cluster 3,165.7602913848787
Kabupaten Jombang,Cluster 3,129.7966590479122
Kabupaten Kediri,Cluster 1,0.0
Kabupaten Lamongan,Cluster 3,136.05958584384985
Kabupaten Lumajang,Cluster 1,167.2580727498675
Kabupaten Madiun,Cluster 2,121.6414320862756
Kabupaten Magetan,Cluster 2,0.0
Kabupaten Malang,Cluster 3,0.0
Kabupaten Mojokerto,Cluster 3,129.7966590479122
Kabupaten Nganjuk,Cluster 2,121.6414320862756
Kabupaten Ngawi,Cluster 2,0.0
Kabupaten Pacitan,Cluster 1,52.35365985296546
Kabupaten Pamekasan,Cluster 1,157.9216571594914
Kabupaten Pasuruan,Cluster 1,167.2580727498675
Kabupaten Ponorogo,Cluster 1,52.35365985296546
Kabupaten Probolinggo,Cluster 1,167.2580727498675
Kabupaten Sampang,Cluster 1,146.28186763915738
Kabupaten Sidoarjo,Cluster 3,129.7966590479122
Kabupaten Situbondo,Cluster 2,157.27279485022197
Kabupaten Sumenep,Cluster 1,157.9216571594914
Kabupaten Trenggalek,Cluster 1,0.0
Kabupaten Tuban,Cluster 2,138.64271059092866
Kabupaten Tulungagung,Cluster 1,0.0
Kota Batu,Cluster 3,0.0
Kota Blitar,Cluster 1,0.0
Kota Kediri,Cluster 1,0.0
Kota Madiun,Cluster 2,0.0
Kota Malang,Cluster 3,0.0
Kota Mojokerto,Cluster 3,129.7966590479122
Kota Pasuruan,Cluster 1,158.63359480261423
Kota Probolinggo,Cluster 1,167.2580727498675
Kota Surabaya,Cluster 3,136.05958584384985
