Kabupaten/Kota,cluster_1,cluster_2,cluster_3,Cluster
Kabupaten Bangkalan,0.4444549823604682,0.34191155565911946,0.21363346198005218,1
Kabupaten Banyuwangi,0.4235188577368747,0.35504673139433435,0.22143441086843652,1
Kabupaten Blitar,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999,3
Kabupaten Bojonegoro,0.2773941078642592,0.42219792211248575,0.30040797002290953,2
Kabupaten Bondowoso,0.3056555825446962,0.3327280870319298,0.36161633042303903,3
Kabupaten Gresik,0.24262543026124173,0.26412701450213755,0.49324755523624875,3
Kabupaten Jember,0.3056555825446962,0.3327280870319298,0.36161633042303903,3
Kabupaten Jombang,0.15625523174237907,0.1691452053904681,0.6745995628666447,3
Kabupaten Kediri,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29,1
Kabupaten Lamongan,0.24262543026124173,0.26412701450213755,0.49324755523624875,3
Kabupaten Lumajang,0.427324588953799,0.3535639860833689,0.2191114249624764,1
Kabupaten Madiun,0.2773941078642592,0.42219792211248575,0.30040797002290953,2
Kabupaten Magetan,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29,2
Kabupaten Malang,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999,3
Kabupaten Mojokerto,0.15625523174237907,0.1691452053904681,0.6745995628666447,3
Kabupaten Nganjuk,0.2773941078642592,0.42219792211248575,0.30040797002290953,2
Kabupaten Ngawi,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29,2
Kabupaten Pacitan,0.782296771703102,0.16337155598857914,0.05433167230767708,1
Kabupaten Pamekasan,0.45179342590423405,0.3503762803588063,0.1978302937365936,1
Kabupaten Pasuruan,0.427324588953799,0.3535639860833689,0.2191114249624764,1
Kabupaten Ponorogo,0.782296771703102,0.16337155598857914,0.05433167230767708,1
Kabupaten Probolinggo,0.427324588953799,0.3535639860833689,0.2191114249624764,1
Kabupaten Sampang,0.4444549823604682,0.34191155565911946,0.21363346198005218,1
Kabupaten Sidoarjo,0.15625523174237907,0.1691452053904681,0.6745995628666447,3
Kabupaten Situbondo,0.3142056752631788,0.3657293498692546,0.3200649748672317,2
Kabupaten Sumenep,0.45179342590423405,0.3503762803588063,0.1978302937365936,1
Kabupaten Trenggalek,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29,1
Kabupaten Tuban,0.326305247071982,0.3862657872404114,0.28742896568726833,2
Kabupaten Tulungagung,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29,1
Kota Batu,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999,3
Kota Blitar,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29,1
Kota Kediri,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29,1
Kota Madiun,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29,2
Kota Malang,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999,3
Kota Mojokerto,0.15625523174237907,0.1691452053904681,0.6745995628666447,3
Kota Pasuruan,0.3755968424279219,0.3670522053817959,0.25735095218994003,1
Kota Probolinggo,0.427324588953799,0.3535639860833689,0.2191114249624764,1
Kota Surabaya,0.24262543026124173,0.26412701450213755,0.49324755523624875,3
