Wilayah,rata_rata,minimum,maksimum,std,jumlah_hari_hujan
Kabupaten Bangkalan,5.353302919708029,0.0,133.93,9.399301316860857,936
Kabupaten Banyuwangi,5.045054744525547,0.0,99.51,8.83817168414721,1021
Kabupaten Blitar,6.416058394160584,0.0,281.24,13.519737358377538,1034
Kabupaten Bojonegoro,6.323832116788322,0.0,233.35,12.71542176968275,852
Kabupaten Bondowoso,5.550009124087592,0.0,199.93,10.794075548214217,945
Kabupaten Gresik,6.143476277372263,0.0,249.46,12.846844249615,980
Kabupaten Jember,5.550009124087592,0.0,199.93,10.794075548214217,945
Kabupaten Jombang,6.235702554744526,0.0,318.68,15.776546388367835,878
Kabupaten Kediri,6.400091240875913,0.0,173.92,10.854264300617027,1009
Kabupaten Lamongan,6.143476277372263,0.0,249.46,12.846844249615,980
Kabupaten Lumajang,5.270045620437957,0.0,136.0,8.6970108599139,1011
Kabupaten Madiun,6.323832116788322,0.0,233.35,12.71542176968275,852
Kabupaten Magetan,6.253321167883212,0.0,165.12,11.201956813358784,895
Kabupaten Malang,6.416058394160584,0.0,281.24,13.519737358377538,1034
Kabupaten Mojokerto,6.235702554744526,0.0,318.68,15.776546388367835,878
Kabupaten Nganjuk,6.323832116788322,0.0,233.35,12.71542176968275,852
Kabupaten Ngawi,6.253321167883212,0.0,165.12,11.201956813358784,895
Kabupaten Pacitan,6.31367700729927,0.0,163.7,10.511193315449892,1012
Kabupaten Pamekasan,5.277618613138686,0.0,113.26,8.910969407702217,915
Kabupaten Pasuruan,5.270045620437957,0.0,136.0,8.6970108599139,1011
Kabupaten Ponorogo,6.31367700729927,0.0,163.7,10.511193315449892,1012
Kabupaten Probolinggo,5.270045620437957,0.0,136.0,8.6970108599139,1011
Kabupaten Sampang,5.353302919708029,0.0,133.93,9.399301316860857,936
Kabupaten Sidoarjo,6.235702554744526,0.0,318.68,15.776546388367835,878
Kabupaten Situbondo,5.423439781021898,0.0,187.6,10.84730449997104,892
Kabupaten Sumenep,5.277618613138686,0.0,113.26,8.910969407702217,915
Kabupaten Trenggalek,6.400091240875913,0.0,173.92,10.854264300617027,1009
Kabupaten Tuban,6.270976277372262,0.0,200.69,11.417276033014552,978
Kabupaten Tulungagung,6.400091240875913,0.0,173.92,10.854264300617027,1009
Kota Batu,6.416058394160584,0.0,281.24,13.519737358377538,1034
Kota Blitar,6.400091240875913,0.0,173.92,10.854264300617027,1009
Kota Kediri,6.400091240875913,0.0,173.92,10.854264300617027,1009
Kota Madiun,6.253321167883212,0.0,165.12,11.201956813358784,895
Kota Malang,6.416058394160584,0.0,281.24,13.519737358377538,1034
Kota Mojokerto,6.235702554744526,0.0,318.68,15.776546388367835,878
Kota Pasuruan,5.2353467153284665,0.0,164.08,9.879604528173349,864
Kota Probolinggo,5.270045620437957,0.0,136.0,8.6970108599139,1011
Kota Surabaya,6.143476277372263,0.0,249.46,12.846844249615,980
